neck_x,neck_y,left_foot_x,left_foot_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,waist_x,waist_y,left_shoulder_x,left_shoulder_y,right_foot_x,right_foot_y,right_elbow_x,right_elbow_y,right_hand_x,right_hand_y,right_knee_x,right_knee_y,right_shoulder_x,right_shoulder_y,Lt_ELbow_x,Lt_ELbow_y,left_hand_x,left_hand_y
-462.0,340.0,-481.0,-814.0,-558.0,-134.0,-332.0,-136.0,-510.0,-498.0,-458.0,-66.0,-640.0,300.0,-373.0,-549.0,-212.0,86.0,-200.0,-110.0,-342.0,-358.0,-306.0,306.0,-702.0,66.0,-616.0,-130.0
-462.0,326.0,-481.0,-814.0,-558.0,-134.0,-332.0,-136.0,-498.0,-502.0,-456.0,-70.0,-640.0,280.0,-374.0,-578.0,-216.0,84.0,-204.0,-122.0,-342.0,-358.0,-302.0,294.0,-704.0,46.0,-610.0,-130.0
-462.0,314.0,-481.0,-808.0,-558.0,-136.0,-330.0,-146.0,-498.0,-502.0,-456.0,-74.0,-632.0,276.0,-390.0,-602.0,-216.0,84.0,-204.0,-128.0,-346.0,-382.0,-300.0,282.0,-704.0,46.0,-598.0,-130.0
-456.0,308.0,-481.0,-796.0,-548.0,-146.0,-328.0,-152.0,-498.0,-498.0,-448.0,-78.0,-616.0,270.0,-404.0,-614.0,-222.0,70.0,-204.0,-144.0,-350.0,-392.0,-296.0,274.0,-694.0,46.0,-598.0,-130.0
-438.0,300.0,-485.0,-765.0,-542.0,-140.0,-328.0,-140.0,-496.0,-478.0,-444.0,-72.0,-612.0,268.0,-405.0,-616.0,-220.0,60.0,-208.0,-138.0,-352.0,-400.0,-288.0,274.0,-682.0,50.0,-598.0,-136.0
-432.0,306.0,-488.0,-741.0,-544.0,-126.0,-330.0,-116.0,-506.0,-454.0,-444.0,-54.0,-600.0,282.0,-404.0,-616.0,-220.0,58.0,-208.0,-138.0,-352.0,-400.0,-280.0,284.0,-656.0,74.0,-606.0,-122.0
-426.0,322.0,-491.0,-694.0,-542.0,-108.0,-330.0,-102.0,-508.0,-430.0,-432.0,-34.0,-592.0,294.0,-405.0,-621.0,-212.0,66.0,-210.0,-116.0,-352.0,-400.0,-276.0,300.0,-652.0,86.0,-606.0,-106.0
-424.0,338.0,-494.0,-605.0,-534.0,-88.0,-324.0,-90.0,-510.0,-402.0,-428.0,-18.0,-584.0,316.0,-399.0,-626.0,-208.0,74.0,-216.0,-100.0,-352.0,-400.0,-274.0,312.0,-646.0,106.0,-616.0,-92.0
-414.0,362.0,-497.0,-520.0,-540.0,-70.0,-328.0,-66.0,-512.0,-360.0,-430.0,-2.0,-576.0,332.0,-395.0,-617.0,-202.0,86.0,-216.0,-90.0,-352.0,-396.0,-270.0,324.0,-640.0,128.0,-622.0,-72.0
-414.0,370.0,-490.0,-443.0,-546.0,-54.0,-332.0,-54.0,-512.0,-314.0,-432.0,18.0,-576.0,352.0,-403.0,-625.0,-198.0,96.0,-220.0,-64.0,-354.0,-380.0,-274.0,336.0,-640.0,160.0,-628.0,-50.0
-414.0,374.0,-492.0,-394.0,-546.0,-36.0,-334.0,-46.0,-516.0,-266.0,-432.0,30.0,-576.0,352.0,-403.0,-625.0,-192.0,106.0,-230.0,-52.0,-362.0,-376.0,-274.0,346.0,-640.0,176.0,-628.0,-38.0
