neck_x,neck_y,left_foot_x,left_foot_y,left_elbow_x,left_elbow_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,waist_x,waist_y,left_shoulder_x,left_shoulder_y,right_foot_x,right_foot_y,right_elbow_x,right_elbow_y,right_hand_x,right_hand_y,right_knee_x,right_knee_y,right_shoulder_x,right_shoulder_y,left_hand_x,left_hand_y
-399.0,364.0,-455.0,-491.0,-558.0,127.0,-535.0,12.0,-291.0,-5.0,-497.0,-289.0,-408.0,108.0,-553.0,363.0,-375.0,-517.0,-241.0,142.0,-230.0,-80.0,-347.0,-287.0,-240.0,339.0,-584.0,-64.0
-395.0,375.0,-453.0,-438.0,-550.0,141.0,-535.0,23.0,-291.0,4.0,-501.0,-267.0,-399.0,132.0,-545.0,372.0,-376.0,-512.0,-234.0,147.0,-229.0,-73.0,-349.0,-280.0,-233.0,343.0,-583.0,-47.0
-395.0,375.0,-451.0,-391.0,-550.0,147.0,-535.0,35.0,-297.0,9.0,-507.0,-240.0,-390.0,136.0,-538.0,381.0,-379.0,-515.0,-230.0,151.0,-236.0,-65.0,-350.0,-273.0,-233.0,343.0,-581.0,-50.0
-389.0,376.0,-445.0,-367.0,-543.0,151.0,-537.0,41.0,-299.0,18.0,-509.0,-223.0,-390.0,137.0,-538.0,381.0,-380.0,-518.0,-230.0,151.0,-232.0,-63.0,-352.0,-270.0,-233.0,343.0,-573.0,-44.0
-390.0,370.0,-449.0,-349.0,-541.0,149.0,-543.0,39.0,-301.0,14.0,-513.0,-206.0,-388.0,131.0,-537.0,378.0,-383.0,-514.0,-231.0,143.0,-236.0,-67.0,-355.0,-272.0,-237.0,338.0,-579.0,-42.0
-390.0,367.0,-450.0,-369.0,-547.0,145.0,-537.0,37.0,-302.0,14.0,-511.0,-204.0,-389.0,133.0,-538.0,365.0,-379.0,-514.0,-236.0,138.0,-240.0,-69.0,-356.0,-269.0,-241.0,333.0,-571.0,-42.0
-394.0,357.0,-449.0,-383.0,-548.0,138.0,-538.0,37.0,-306.0,10.0,-512.0,-208.0,-390.0,123.0,-541.0,355.0,-377.0,-517.0,-241.0,134.0,-246.0,-73.0,-359.0,-267.0,-245.0,325.0,-573.0,-45.0
-396.0,353.0,-458.0,-397.0,-549.0,136.0,-544.0,26.0,-313.0,7.0,-515.0,-224.0,-396.0,120.0,-543.0,351.0,-385.0,-512.0,-254.0,122.0,-253.0,-75.0,-363.0,-271.0,-252.0,315.0,-577.0,-53.0
-403.0,345.0,-461.0,-394.0,-552.0,125.0,-545.0,22.0,-316.0,6.0,-510.0,-232.0,-410.0,112.0,-547.0,345.0,-381.0,-512.0,-257.0,122.0,-260.0,-79.0,-369.0,-264.0,-259.0,307.0,-579.0,-55.0
-413.0,343.0,-457.0,-399.0,-562.0,125.0,-553.0,19.0,-321.0,6.0,-511.0,-230.0,-413.0,114.0,-557.0,342.0,-382.0,-494.0,-268.0,122.0,-270.0,-77.0,-371.0,-258.0,-271.0,310.0,-583.0,-53.0
