neck_x,neck_y,left_foot_x,left_foot_y,left_elbow_x,left_elbow_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,waist_x,waist_y,left_shoulder_x,left_shoulder_y,right_foot_x,right_foot_y,right_elbow_x,right_elbow_y,right_hand_x,right_hand_y,right_knee_x,right_knee_y,right_shoulder_x,right_shoulder_y,left_hand_x,left_hand_y
210.0,65.0,126.6954644,-1543.153348,-74.0,-406.0,18.0,-633.0,364.0,-610.0,133.0,-1166.0,192.0,-486.0,-36.0,-9.0,296.0,-1279.0,408.0,-413.0,470.0,-714.0,269.0,-911.0,426.0,1.0,-45.0,-682.0
212.0,64.0,126.6954644,-1543.153348,-61.0,-407.0,20.0,-633.0,368.0,-609.0,133.0,-1166.0,196.0,-489.0,-29.0,-14.0,296.0,-1279.0,412.0,-415.0,465.0,-710.0,269.0,-915.0,430.0,-11.0,-34.0,-687.0
222.0,55.0,126.6954644,-1543.153348,-54.0,-410.0,27.0,-633.0,372.0,-614.0,135.0,-1160.0,205.0,-489.0,-20.0,-18.0,296.0,-1279.0,415.0,-425.0,462.0,-716.0,269.0,-920.0,437.0,-20.0,-28.0,-687.0
233.0,47.0,126.6954644,-1543.153348,-44.0,-412.0,35.0,-630.0,380.0,-611.0,138.0,-1153.0,210.0,-491.0,-10.0,-24.0,296.0,-1279.0,420.0,-424.0,464.0,-710.0,276.0,-924.0,440.0,-25.0,-15.0,-684.0
241.0,43.0,130.8423326,-1526.565875,-40.0,-410.0,47.0,-625.0,384.0,-610.0,143.0,-1139.0,219.0,-488.0,4.0,-25.0,296.0,-1277.0,426.0,-425.0,465.0,-706.0,276.0,-924.0,441.0,-32.0,-14.0,-679.0
255.0,43.0,130.8423326,-1518.272138,-30.0,-398.0,53.0,-618.0,394.0,-596.0,147.0,-1129.0,227.0,-484.0,15.0,-16.0,296.0,-1277.0,424.0,-417.0,472.0,-699.0,279.0,-927.0,448.0,-35.0,-13.0,-664.0
264.0,55.0,130.8423326,-1489.24406,-23.0,-378.0,58.0,-603.0,399.0,-582.0,151.0,-1104.0,240.0,-468.0,24.0,-6.0,296.0,-1277.0,432.0,-408.0,474.0,-693.0,280.0,-927.0,458.0,-27.0,-9.0,-654.0
272.0,64.0,130.8423326,-1472.656587,-11.0,-360.0,68.0,-582.0,404.0,-558.0,158.0,-1080.0,243.0,-454.0,32.0,0.0,296.0,-1277.0,440.0,-389.0,487.0,-673.0,280.0,-918.0,460.0,-20.0,-12.0,-640.0
283.0,84.0,130.8423326,-1456.0691140000001,-2.0,-338.0,78.0,-563.0,409.0,-540.0,167.0,-1054.0,250.0,-436.0,41.0,20.0,296.0,-1286.0,450.0,-376.0,486.0,-654.0,285.0,-918.0,470.0,-9.0,-9.0,-618.0
286.0,91.0,143.2829374,-1398.012959,3.0,-327.0,87.0,-546.0,410.0,-519.0,176.0,-1028.0,256.0,-418.0,48.0,31.0,296.0,-1290.0,452.0,-359.0,492.0,-640.0,287.0,-914.0,475.0,5.0,-6.0,-597.0
293.0,104.0,159.8704104,-1331.663067,10.0,-308.0,97.0,-528.0,416.0,-498.0,186.0,-988.0,260.0,-398.0,57.0,44.0,299.0,-1294.0,466.0,-347.0,498.0,-620.0,291.0,-907.0,475.0,17.0,-1.0,-584.0
302.0,120.0,176.45788340000001,-1294.3412529999998,16.0,-288.0,99.0,-514.0,417.0,-483.0,189.0,-960.0,264.0,-388.0,64.0,64.0,303.0,-1296.0,470.0,-331.0,506.0,-601.0,291.0,-904.0,491.0,37.0,3.0,-560.0
300.0,127.0,193.0453564,-1232.138229,24.0,-277.0,104.0,-487.0,418.0,-469.0,193.0,-923.0,267.0,-370.0,72.0,80.0,303.0,-1299.0,476.0,-319.0,510.0,-590.0,294.0,-897.0,488.0,45.0,8.0,-547.0
312.0,138.0,188.8984881,-1165.788337,30.0,-265.0,103.0,-479.0,420.0,-458.0,195.0,-888.0,265.0,-358.0,78.0,91.0,302.0,-1304.0,483.0,-307.0,512.0,-577.0,294.0,-897.0,495.0,59.0,16.0,-536.0
311.0,146.0,188.8984881,-1128.466523,30.0,-262.0,100.0,-472.0,420.0,-450.0,193.0,-858.0,268.0,-358.0,80.0,97.0,302.0,-1305.0,486.0,-302.0,513.0,-567.0,298.0,-901.0,504.0,63.0,13.0,-528.0
318.0,141.0,184.7516199,-1078.704104,34.0,-259.0,100.0,-463.0,416.0,-449.0,196.0,-836.0,266.0,-357.0,86.0,97.0,301.0,-1309.0,490.0,-300.0,508.0,-562.0,302.0,-901.0,508.0,63.0,15.0,-524.0
328.0,141.0,184.7516199,-1053.822894,40.0,-259.0,97.0,-459.0,414.0,-445.0,200.0,-813.0,264.0,-357.0,90.0,93.0,301.0,-1309.0,488.0,-305.0,509.0,-561.0,305.0,-901.0,508.0,60.0,20.0,-528.0
328.0,145.0,176.45788340000001,-999.9136069,43.0,-263.0,96.0,-454.0,404.0,-449.0,203.0,-794.0,268.0,-354.0,94.0,90.0,301.0,-1309.0,488.0,-307.0,509.0,-562.0,306.0,-904.0,505.0,61.0,21.0,-526.0
324.0,137.0,176.45788340000001,-999.9136069,46.0,-263.0,95.0,-451.0,402.0,-445.0,203.0,-778.0,263.0,-354.0,95.0,89.0,301.0,-1307.0,487.0,-301.0,503.0,-561.0,302.0,-901.0,506.0,56.0,18.0,-523.0
330.0,137.0,176.45788340000001,-999.9136069,46.0,-262.0,93.0,-446.0,396.0,-447.0,203.0,-765.0,266.0,-351.0,99.0,86.0,301.0,-1301.0,484.0,-308.0,496.0,-561.0,299.0,-901.0,504.0,49.0,20.0,-528.0
325.0,135.0,176.45788340000001,-999.9136069,51.0,-262.0,92.0,-441.0,392.0,-445.0,203.0,-755.0,265.0,-347.0,100.0,78.0,296.0,-1297.0,481.0,-307.0,490.0,-558.0,297.0,-897.0,504.0,45.0,24.0,-526.0
324.0,123.0,197.1922246,-999.9136069,54.0,-267.0,89.0,-443.0,384.0,-448.0,203.0,-755.0,260.0,-346.0,100.0,76.0,296.0,-1297.0,478.0,-307.0,485.0,-564.0,294.0,-890.0,500.0,41.0,25.0,-530.0
324.0,112.0,197.1922246,-999.9136069,54.0,-266.0,89.0,-443.0,378.0,-449.0,203.0,-755.0,253.0,-352.0,104.0,71.0,297.0,-1293.0,471.0,-306.0,479.0,-565.0,294.0,-890.0,495.0,32.0,30.0,-525.0
321.0,103.0,197.1922246,-1008.2073429999999,56.0,-269.0,87.0,-445.0,378.0,-443.0,205.0,-765.0,248.0,-350.0,104.0,65.0,300.0,-1287.0,468.0,-313.0,473.0,-568.0,290.0,-887.0,494.0,23.0,28.0,-529.0
317.0,103.0,201.3390929,-1020.647948,59.0,-265.0,85.0,-446.0,374.0,-443.0,205.0,-768.0,247.0,-350.0,98.0,58.0,301.0,-1278.0,463.0,-315.0,468.0,-567.0,290.0,-879.0,480.0,17.0,30.0,-527.0
306.0,98.0,201.3390929,-1020.647948,58.0,-264.0,79.0,-435.0,366.0,-438.0,203.0,-769.0,241.0,-346.0,92.0,53.0,301.0,-1267.0,455.0,-311.0,460.0,-561.0,289.0,-874.0,474.0,17.0,25.0,-518.0
301.0,109.0,201.3390929,-1008.2073429999999,52.0,-251.0,74.0,-423.0,353.0,-413.0,197.0,-770.0,238.0,-333.0,87.0,64.0,303.0,-1245.0,444.0,-302.0,458.0,-549.0,287.0,-856.0,466.0,27.0,21.0,-504.0
296.0,119.0,201.3390929,-1008.2073429999999,53.0,-237.0,73.0,-411.0,355.0,-397.0,192.0,-765.0,231.0,-318.0,85.0,73.0,310.0,-1215.0,438.0,-284.0,456.0,-530.0,285.0,-836.0,462.0,37.0,21.0,-481.0
290.0,133.0,201.3390929,-1016.5010800000001,44.0,-220.0,71.0,-397.0,346.0,-387.0,192.0,-763.0,226.0,-303.0,82.0,87.0,314.0,-1185.0,437.0,-256.0,454.0,-513.0,285.0,-813.0,458.0,49.0,13.0,-471.0
284.0,145.0,201.3390929,-1016.5010800000001,35.0,-206.0,74.0,-388.0,342.0,-372.0,199.0,-768.0,225.0,-294.0,72.0,101.0,308.0,-1147.0,426.0,-240.0,448.0,-490.0,289.0,-783.0,445.0,68.0,8.0,-459.0
276.0,160.0,193.0453564,-1020.647948,29.0,-196.0,75.0,-381.0,343.0,-364.0,193.0,-762.0,225.0,-281.0,69.0,109.0,301.0,-1105.0,420.0,-230.0,443.0,-481.0,283.0,-765.0,442.0,81.0,6.0,-444.0
270.0,167.0,193.0453564,-1020.647948,21.0,-189.0,79.0,-374.0,347.0,-351.0,193.0,-762.0,220.0,-268.0,67.0,117.0,295.0,-1059.0,413.0,-219.0,442.0,-464.0,283.0,-744.0,431.0,99.0,6.0,-434.0
261.0,180.0,193.0453564,-1020.647948,16.0,-185.0,81.0,-369.0,345.0,-341.0,190.0,-754.0,224.0,-266.0,62.0,123.0,292.0,-997.0,412.0,-213.0,438.0,-451.0,278.0,-725.0,434.0,111.0,0.0,-427.0
264.0,185.0,193.0453564,-1020.647948,14.0,-183.0,85.0,-364.0,348.0,-337.0,187.0,-759.0,224.0,-261.0,59.0,129.0,302.0,-945.0,408.0,-207.0,437.0,-443.0,275.0,-701.0,423.0,117.0,9.0,-417.0
260.0,183.0,193.0453564,-1020.647948,15.0,-181.0,89.0,-364.0,349.0,-336.0,189.0,-757.0,229.0,-250.0,62.0,131.0,308.0,-913.0,410.0,-203.0,434.0,-436.0,276.0,-689.0,424.0,119.0,12.0,-414.0
254.0,183.0,193.0453564,-1020.647948,14.0,-183.0,89.0,-361.0,356.0,-340.0,189.0,-757.0,228.0,-255.0,56.0,125.0,317.0,-884.0,408.0,-203.0,434.0,-436.0,276.0,-676.0,418.0,121.0,17.0,-411.0
256.0,183.0,184.7516199,-1024.794816,17.0,-188.0,89.0,-361.0,358.0,-340.0,184.0,-758.0,228.0,-249.0,58.0,122.0,317.0,-868.0,402.0,-204.0,432.0,-434.0,275.0,-660.0,418.0,115.0,18.0,-412.0
254.0,179.0,184.7516199,-1024.794816,20.0,-189.0,95.0,-362.0,358.0,-342.0,184.0,-758.0,231.0,-246.0,60.0,117.0,315.0,-864.0,402.0,-203.0,436.0,-442.0,271.0,-648.0,416.0,109.0,25.0,-420.0
252.0,169.0,184.7516199,-1024.794816,24.0,-191.0,95.0,-362.0,360.0,-339.0,184.0,-758.0,234.0,-244.0,56.0,116.0,309.0,-865.0,400.0,-207.0,430.0,-442.0,267.0,-632.0,412.0,101.0,26.0,-422.0
250.0,164.0,184.7516199,-1024.794816,24.0,-194.0,95.0,-362.0,366.0,-345.0,182.0,-755.0,236.0,-251.0,60.0,109.0,302.0,-867.0,398.0,-209.0,432.0,-443.0,267.0,-625.0,411.0,105.0,32.0,-422.0
252.0,160.0,184.7516199,-1024.794816,33.0,-195.0,102.0,-362.0,364.0,-343.0,186.0,-758.0,239.0,-247.0,62.0,107.0,291.0,-879.0,402.0,-209.0,434.0,-446.0,266.0,-618.0,412.0,100.0,34.0,-430.0
252.0,149.0,184.7516199,-1024.794816,30.0,-197.0,106.0,-365.0,370.0,-345.0,187.0,-757.0,240.0,-250.0,68.0,97.0,285.0,-885.0,399.0,-207.0,433.0,-446.0,266.0,-620.0,412.0,90.0,38.0,-434.0
257.0,149.0,184.7516199,-1024.794816,44.0,-199.0,106.0,-365.0,368.0,-348.0,191.0,-752.0,242.0,-250.0,69.0,91.0,285.0,-885.0,403.0,-205.0,432.0,-448.0,267.0,-630.0,413.0,83.0,32.0,-423.0
256.0,137.0,184.7516199,-1024.794816,45.0,-198.0,109.0,-361.0,372.0,-339.0,191.0,-747.0,248.0,-251.0,71.0,91.0,284.0,-887.0,391.0,-215.0,433.0,-442.0,268.0,-635.0,414.0,77.0,38.0,-430.0
265.0,138.0,184.7516199,-1024.794816,49.0,-187.0,111.0,-357.0,373.0,-337.0,191.0,-739.0,251.0,-250.0,76.0,86.0,284.0,-887.0,398.0,-210.0,433.0,-440.0,269.0,-635.0,410.0,74.0,32.0,-425.0
264.0,140.0,188.8984881,-999.9136069,55.0,-177.0,112.0,-351.0,371.0,-328.0,197.0,-723.0,250.0,-243.0,85.0,91.0,281.0,-891.0,397.0,-200.0,432.0,-433.0,275.0,-635.0,408.0,77.0,33.0,-406.0
268.0,145.0,188.8984881,-991.6198704,54.0,-163.0,115.0,-341.0,372.0,-314.0,199.0,-713.0,253.0,-232.0,86.0,93.0,277.0,-893.0,396.0,-185.0,428.0,-420.0,273.0,-632.0,414.0,86.0,28.0,-394.0
266.0,153.0,188.8984881,-958.4449243999999,57.0,-148.0,116.0,-323.0,372.0,-300.0,202.0,-695.0,255.0,-218.0,93.0,107.0,281.0,-895.0,397.0,-171.0,436.0,-403.0,279.0,-631.0,423.0,94.0,32.0,-375.0
273.0,163.0,188.8984881,-925.2699784,62.0,-135.0,119.0,-318.0,373.0,-288.0,203.0,-678.0,253.0,-207.0,100.0,124.0,287.0,-897.0,402.0,-160.0,437.0,-394.0,279.0,-626.0,420.0,109.0,31.0,-362.0
278.0,175.0,188.8984881,-904.5356370999999,59.0,-127.0,129.0,-298.0,370.0,-279.0,199.0,-657.0,256.0,-196.0,99.0,139.0,283.0,-899.0,408.0,-152.0,434.0,-381.0,279.0,-617.0,421.0,113.0,33.0,-351.0
284.0,185.0,184.7516199,-846.4794816,66.0,-119.0,129.0,-285.0,368.0,-263.0,199.0,-632.0,255.0,-186.0,100.0,139.0,285.0,-895.0,412.0,-142.0,437.0,-374.0,276.0,-610.0,421.0,124.0,35.0,-341.0
282.0,195.0,188.8984881,-809.1576673999999,65.0,-107.0,127.0,-279.0,368.0,-255.0,198.0,-608.0,254.0,-183.0,101.0,158.0,285.0,-899.0,420.0,-143.0,439.0,-362.0,273.0,-601.0,426.0,133.0,40.0,-333.0
284.0,196.0,188.8984881,-767.6889848999999,70.0,-109.0,125.0,-270.0,364.0,-249.0,199.0,-585.0,252.0,-177.0,105.0,161.0,285.0,-901.0,419.0,-140.0,439.0,-357.0,271.0,-594.0,425.0,133.0,40.0,-329.0
285.0,200.0,197.1922246,-734.5140389,72.0,-109.0,123.0,-266.0,360.0,-247.0,199.0,-574.0,246.0,-176.0,107.0,160.0,285.0,-905.0,425.0,-145.0,438.0,-359.0,276.0,-606.0,427.0,136.0,46.0,-324.0
285.0,194.0,184.7516199,-701.3390929,74.0,-107.0,117.0,-260.0,356.0,-249.0,201.0,-558.0,250.0,-176.0,108.0,159.0,283.0,-903.0,423.0,-149.0,437.0,-358.0,276.0,-606.0,428.0,134.0,48.0,-328.0
288.0,195.0,184.7516199,-701.3390929,71.0,-113.0,115.0,-257.0,352.0,-250.0,199.0,-535.0,247.0,-178.0,111.0,158.0,283.0,-903.0,418.0,-153.0,429.0,-358.0,279.0,-613.0,424.0,133.0,50.0,-328.0
288.0,189.0,180.6047516,-680.6047516,76.0,-113.0,110.0,-257.0,346.0,-251.0,202.0,-523.0,247.0,-176.0,112.0,155.0,283.0,-903.0,418.0,-151.0,426.0,-362.0,279.0,-613.0,426.0,127.0,54.0,-324.0
284.0,187.0,184.7516199,-688.8984881,75.0,-112.0,108.0,-255.0,338.0,-247.0,194.0,-523.0,241.0,-176.0,112.0,149.0,283.0,-903.0,413.0,-157.0,417.0,-362.0,272.0,-607.0,424.0,124.0,48.0,-327.0
286.0,178.0,188.8984881,-701.3390929,77.0,-116.0,104.0,-251.0,337.0,-249.0,197.0,-523.0,238.0,-171.0,111.0,143.0,283.0,-899.0,413.0,-158.0,410.0,-364.0,272.0,-607.0,420.0,120.0,52.0,-331.0
282.0,177.0,188.8984881,-701.3390929,74.0,-121.0,103.0,-258.0,330.0,-253.0,195.0,-526.0,235.0,-174.0,110.0,141.0,283.0,-899.0,404.0,-160.0,408.0,-369.0,272.0,-607.0,412.0,109.0,49.0,-330.0
280.0,168.0,189.0,-723.0,74.0,-121.0,103.0,-259.0,327.0,-254.0,194.0,-531.0,231.0,-182.0,110.0,135.0,278.0,-894.0,399.0,-165.0,399.0,-366.0,269.0,-606.0,412.0,105.0,50.0,-333.0
279.0,167.0,186.0,-721.0,69.0,-126.0,97.0,-267.0,322.0,-253.0,192.0,-536.0,228.0,-186.0,105.0,132.0,281.0,-891.0,388.0,-168.0,394.0,-370.0,265.0,-605.0,405.0,103.0,47.0,-337.0
