neck_x,neck_y,left_foot_x,left_foot_y,left_elbow_x,left_elbow_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,waist_x,waist_y,left_shoulder_x,left_shoulder_y,right_foot_x,right_foot_y,right_elbow_x,right_elbow_y,right_hand_x,right_hand_y,right_knee_x,right_knee_y,right_shoulder_x,right_shoulder_y,left_hand_x,left_hand_y
-384.0,381.0,-475.0,-597.0,-640.0,117.0,-557.0,-118.0,-311.0,-130.0,-549.0,-353.0,-431.0,21.0,-596.0,340.0,-425.0,-788.0,-202.0,79.0,-195.0,-173.0,-367.0,-501.0,-230.0,340.0,-675.0,-111.0
-388.0,376.0,-472.0,-603.0,-640.0,113.0,-557.0,-119.0,-313.0,-130.0,-541.0,-359.0,-430.0,20.0,-594.0,333.0,-426.0,-791.0,-211.0,73.0,-195.0,-172.0,-371.0,-498.0,-234.0,331.0,-668.0,-115.0
-392.0,368.0,-467.0,-612.0,-640.0,101.0,-553.0,-122.0,-315.0,-132.0,-533.0,-365.0,-436.0,13.0,-594.0,321.0,-429.0,-789.0,-216.0,71.0,-202.0,-175.0,-371.0,-498.0,-237.0,329.0,-665.0,-122.0
-397.0,361.0,-461.0,-613.0,-641.0,91.0,-552.0,-128.0,-314.0,-137.0,-523.0,-369.0,-436.0,8.0,-600.0,310.0,-425.0,-785.0,-222.0,69.0,-204.0,-174.0,-373.0,-499.0,-246.0,319.0,-660.0,-126.0
-406.0,351.0,-464.0,-614.0,-641.0,80.0,-548.0,-131.0,-314.0,-135.0,-525.0,-368.0,-437.0,-2.0,-602.0,296.0,-429.0,-777.0,-230.0,71.0,-211.0,-173.0,-377.0,-494.0,-255.0,314.0,-658.0,-133.0
-413.0,347.0,-465.0,-618.0,-643.0,72.0,-546.0,-125.0,-313.0,-138.0,-517.0,-374.0,-434.0,-2.0,-608.0,287.0,-433.0,-768.0,-231.0,77.0,-212.0,-168.0,-381.0,-489.0,-268.0,318.0,-654.0,-137.0
-422.0,347.0,-464.0,-619.0,-642.0,70.0,-541.0,-114.0,-313.0,-124.0,-521.0,-378.0,-433.0,9.0,-614.0,288.0,-429.0,-752.0,-239.0,87.0,-214.0,-153.0,-375.0,-475.0,-275.0,321.0,-650.0,-134.0
-430.0,361.0,-462.0,-620.0,-639.0,85.0,-543.0,-96.0,-314.0,-105.0,-519.0,-380.0,-438.0,26.0,-619.0,300.0,-419.0,-710.0,-245.0,111.0,-216.0,-129.0,-362.0,-449.0,-282.0,334.0,-649.0,-117.0
-443.0,377.0,-467.0,-622.0,-644.0,104.0,-544.0,-74.0,-314.0,-83.0,-518.0,-373.0,-445.0,52.0,-626.0,315.0,-398.0,-670.0,-254.0,136.0,-221.0,-105.0,-347.0,-420.0,-292.0,355.0,-651.0,-104.0
-449.0,395.0,-465.0,-624.0,-647.0,117.0,-544.0,-56.0,-313.0,-62.0,-521.0,-372.0,-446.0,70.0,-634.0,331.0,-395.0,-609.0,-261.0,152.0,-226.0,-87.0,-331.0,-383.0,-301.0,373.0,-649.0,-83.0
-455.0,410.0,-468.0,-621.0,-655.0,131.0,-542.0,-40.0,-313.0,-44.0,-518.0,-371.0,-445.0,84.0,-636.0,341.0,-392.0,-538.0,-264.0,167.0,-227.0,-67.0,-321.0,-347.0,-308.0,385.0,-650.0,-69.0
-460.0,418.0,-462.0,-627.0,-654.0,142.0,-539.0,-28.0,-310.0,-33.0,-516.0,-367.0,-448.0,94.0,-636.0,352.0,-387.0,-485.0,-267.0,177.0,-231.0,-56.0,-312.0,-310.0,-315.0,400.0,-656.0,-59.0
