neck_x,neck_y,left_foot_x,left_foot_y,left_elbow_x,left_elbow_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,waist_x,waist_y,left_shoulder_x,left_shoulder_y,right_foot_x,right_foot_y,right_elbow_x,right_elbow_y,right_hand_x,right_hand_y,right_knee_x,right_knee_y,right_shoulder_x,right_shoulder_y,left_hand_x,left_hand_y
768.0,73.0,673.0,-505.0,651.0,-74.0,694.0,-178.0,791.0,-182.0,677.0,-329.0,744.0,-150.0,670.0,43.0,700.0,-513.0,840.0,-100.0,836.0,-211.0,749.0,-339.0,834.0,25.0,602.0,-186.0
763.0,73.0,674.0,-497.0,650.0,-74.0,694.0,-178.0,791.0,-182.0,677.0,-329.0,744.0,-150.0,669.0,39.0,700.0,-507.0,840.0,-100.0,830.0,-208.0,748.0,-334.0,830.0,24.0,602.0,-187.0
762.0,71.0,683.0,-485.0,647.0,-79.0,691.0,-180.0,789.0,-181.0,677.0,-329.0,740.0,-150.0,665.0,34.0,700.0,-500.0,832.0,-101.0,823.0,-201.0,741.0,-329.0,822.0,19.0,605.0,-191.0
754.0,67.0,685.0,-478.0,644.0,-81.0,685.0,-182.0,779.0,-176.0,678.0,-329.0,735.0,-152.0,663.0,29.0,700.0,-496.0,823.0,-101.0,823.0,-201.0,736.0,-321.0,817.0,15.0,600.0,-195.0
749.0,65.0,685.0,-479.0,641.0,-82.0,678.0,-180.0,772.0,-176.0,678.0,-323.0,728.0,-153.0,657.0,25.0,705.0,-482.0,818.0,-101.0,818.0,-204.0,734.0,-317.0,806.0,13.0,600.0,-195.0
740.0,65.0,685.0,-479.0,636.0,-81.0,677.0,-175.0,769.0,-175.0,676.0,-316.0,722.0,-147.0,652.0,25.0,709.0,-462.0,812.0,-92.0,816.0,-204.0,734.0,-317.0,804.0,17.0,596.0,-188.0
732.0,65.0,685.0,-479.0,631.0,-77.0,669.0,-170.0,760.0,-172.0,671.0,-311.0,719.0,-144.0,648.0,25.0,722.0,-437.0,806.0,-89.0,811.0,-202.0,736.0,-313.0,794.0,17.0,596.0,-184.0
732.0,66.0,685.0,-479.0,626.0,-74.0,669.0,-170.0,760.0,-166.0,671.0,-308.0,714.0,-139.0,642.0,27.0,722.0,-413.0,801.0,-83.0,811.0,-198.0,731.0,-303.0,787.0,20.0,592.0,-176.0
727.0,67.0,685.0,-479.0,626.0,-72.0,672.0,-168.0,762.0,-162.0,672.0,-303.0,716.0,-137.0,642.0,27.0,710.0,-419.0,795.0,-79.0,810.0,-198.0,726.0,-293.0,787.0,20.0,591.0,-167.0
727.0,63.0,684.0,-478.0,626.0,-72.0,672.0,-168.0,760.0,-163.0,672.0,-303.0,716.0,-137.0,642.0,27.0,706.0,-424.0,795.0,-79.0,802.0,-196.0,726.0,-291.0,786.0,15.0,593.0,-163.0
728.0,59.0,684.0,-473.0,626.0,-72.0,672.0,-168.0,760.0,-163.0,672.0,-301.0,716.0,-137.0,644.0,23.0,696.0,-421.0,793.0,-85.0,802.0,-196.0,726.0,-291.0,782.0,11.0,595.0,-163.0
730.0,51.0,684.0,-465.0,628.0,-75.0,672.0,-168.0,758.0,-170.0,674.0,-296.0,716.0,-137.0,647.0,17.0,696.0,-409.0,793.0,-85.0,802.0,-203.0,724.0,-293.0,784.0,6.0,598.0,-162.0
734.0,49.0,687.0,-457.0,636.0,-79.0,680.0,-166.0,758.0,-170.0,678.0,-291.0,722.0,-142.0,656.0,15.0,698.0,-409.0,794.0,-89.0,807.0,-200.0,724.0,-293.0,789.0,1.0,605.0,-164.0
740.0,45.0,688.0,-440.0,644.0,-79.0,680.0,-166.0,762.0,-170.0,678.0,-291.0,726.0,-142.0,666.0,15.0,700.0,-415.0,796.0,-91.0,805.0,-205.0,733.0,-289.0,794.0,-3.0,608.0,-164.0
745.0,45.0,688.0,-410.0,648.0,-75.0,688.0,-164.0,771.0,-164.0,678.0,-289.0,730.0,-138.0,667.0,15.0,700.0,-413.0,802.0,-92.0,808.0,-200.0,738.0,-285.0,794.0,-5.0,612.0,-162.0
746.0,45.0,688.0,-398.0,650.0,-73.0,692.0,-158.0,774.0,-158.0,678.0,-281.0,732.0,-134.0,671.0,19.0,698.0,-412.0,802.0,-92.0,808.0,-196.0,742.0,-279.0,797.0,-3.0,615.0,-158.0
754.0,46.0,684.0,-392.0,653.0,-72.0,692.0,-158.0,772.0,-156.0,675.0,-276.0,732.0,-134.0,674.0,18.0,698.0,-411.0,806.0,-87.0,808.0,-186.0,740.0,-279.0,801.0,-1.0,616.0,-157.0
