neck_x,neck_y,left_foot_x,left_foot_y,left_elbow_x,left_elbow_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,waist_x,waist_y,left_shoulder_x,left_shoulder_y,right_foot_x,right_foot_y,Rt_ELbow_x,Rt_ELbow_y,right_hand_x,right_hand_y,right_knee_x,right_knee_y,right_shoulder_x,right_shoulder_y,left_hand_x,left_hand_y
-404.0,368.0,-431.0,-541.0,-586.0,124.0,-497.0,-51.0,-283.0,-31.0,-482.0,-305.0,-379.0,20.0,-546.0,314.0,-366.0,-467.0,-211.9411765,119.6029412,-226.2352941,-47.16176471,-296.0,-280.0,-262.0,322.0,-584.0,-60.0
-408.0,378.0,-427.0,-540.0,-589.0,128.0,-493.0,-39.0,-281.0,-22.0,-479.0,-297.0,-379.0,32.0,-550.0,319.0,-363.0,-419.0,-213.52941180000002,131.51470590000002,-228.6176471,-32.86764706,-293.0,-245.0,-262.0,333.0,-576.0,-54.0
-417.0,381.0,-423.0,-538.0,-588.0,125.0,-491.0,-33.0,-279.0,-6.0,-469.0,-291.0,-377.0,42.0,-548.0,321.0,-358.0,-385.0,-217.5,145.80882350000002,-227.8235294,-23.33823529,-291.0,-221.0,-270.0,342.0,-568.0,-44.0
-416.0,383.0,-423.0,-538.0,-587.0,132.0,-487.0,-25.0,-275.0,4.0,-461.0,-285.0,-373.0,45.0,-554.0,320.0,-358.0,-385.0,-224.6470588,145.01470590000002,-230.2058824,-17.77941176,-290.0,-201.0,-270.0,346.0,-572.0,-40.0
-418.0,380.0,-417.0,-535.0,-587.0,126.0,-483.0,-23.0,-273.0,11.0,-459.0,-283.0,-369.0,45.0,-554.0,318.0,-355.0,-406.0,-227.02941180000002,151.3676471,-236.5588235,-16.98529412,-289.0,-194.0,-272.0,337.0,-564.0,-40.0
-414.0,375.0,-417.0,-535.0,-588.0,122.0,-483.0,-27.0,-281.0,-6.0,-455.0,-277.0,-365.0,45.0,-550.0,312.0,-363.0,-423.0,-227.8235294,141.8382353,-237.3529412,-21.75,-291.0,-197.0,-274.0,334.0,-561.0,-40.0
-409.0,369.0,-418.0,-533.0,-582.0,118.0,-479.0,-30.0,-275.0,-6.0,-455.0,-277.0,-365.0,39.0,-542.0,308.0,-369.0,-437.0,-231.0,136.2794118,-235.7647059,-26.51470588,-297.0,-210.0,-271.0,327.0,-559.0,-42.0
-407.0,361.0,-421.0,-523.0,-578.0,118.0,-476.0,-31.0,-278.0,-13.0,-455.0,-272.0,-366.0,36.0,-540.0,307.0,-370.0,-447.0,-227.8235294,127.54411759999999,-239.7352941,-26.51470588,-299.0,-221.0,-266.0,325.0,-555.0,-42.0
-394.0,359.0,-423.0,-512.0,-576.0,127.0,-474.0,-36.0,-278.0,-13.0,-456.0,-270.0,-364.0,34.0,-532.0,304.0,-374.0,-455.0,-223.8529412,131.51470590000002,-236.5588235,-32.86764706,-304.0,-227.0,-260.0,319.0,-550.0,-38.0
-387.0,360.0,-429.0,-496.0,-564.0,133.0,-477.0,-21.0,-275.0,-3.0,-463.0,-255.0,-364.0,42.0,-528.0,311.0,-374.0,-455.0,-223.8529412,131.51470590000002,-238.1470588,-28.10294118,-304.0,-227.0,-257.0,315.0,-549.0,-30.0
-378.0,367.0,-435.0,-470.0,-556.0,151.0,-477.0,-9.0,-272.0,6.0,-475.0,-245.0,-363.0,50.0,-516.0,323.0,-370.0,-455.0,-220.6764706,133.8970588,-234.97058819999998,-17.77941176,-307.0,-226.0,-248.0,321.0,-552.0,-18.0
-370.0,375.0,-443.0,-440.0,-550.0,172.0,-475.0,-1.0,-273.0,14.0,-479.0,-227.0,-363.0,61.0,-504.0,339.0,-370.0,-455.0,-215.9117647,142.6323529,-232.5882353,-10.63235294,-307.0,-221.0,-244.0,326.0,-552.0,-3.0
-362.0,380.0,-441.0,-388.0,-543.0,187.0,-473.0,15.0,-277.0,20.0,-483.0,-209.0,-365.0,73.0,-495.0,345.0,-370.0,-455.0,-209.55882350000002,147.39705880000002,-230.2058824,0.48529411759999996,-307.0,-219.0,-238.0,335.0,-554.0,12.0
-360.0,391.0,-439.0,-333.0,-539.0,204.0,-475.0,21.0,-282.0,32.0,-485.0,-190.0,-368.0,85.0,-491.0,357.0,-370.0,-455.0,-207.1764706,156.1323529,-227.8235294,6.8382352939999995,-309.0,-213.0,-232.0,342.0,-554.0,30.0
-351.0,405.0,-439.0,-280.0,-534.0,216.0,-481.0,34.0,-281.0,37.0,-487.0,-162.0,-373.0,91.0,-490.0,373.0,-370.0,-455.0,-204.7941176,167.25,-227.02941180000002,16.36764706,-315.0,-205.0,-232.0,349.0,-552.0,43.0
-352.0,410.0,-444.0,-244.0,-528.0,227.0,-481.0,48.0,-282.0,51.0,-487.0,-145.0,-377.0,101.0,-486.0,377.0,-376.0,-455.0,-202.4117647,170.4264706,-230.2058824,23.51470588,-325.0,-200.0,-224.0,354.0,-554.0,59.0
-351.0,408.0,-449.0,-236.0,-530.0,234.0,-487.0,52.0,-289.0,49.0,-488.0,-133.0,-381.0,108.0,-484.0,389.0,-376.0,-455.0,-206.3823529,169.6323529,-230.2058824,26.69117647,-329.0,-196.0,-226.0,362.0,-551.0,63.0
-350.0,409.0,-447.0,-250.0,-528.0,229.0,-490.0,59.0,-294.0,46.0,-488.0,-121.0,-381.0,110.0,-481.0,387.0,-376.0,-455.0,-204.7941176,168.8382353,-231.7941176,27.48529412,-338.0,-191.0,-227.0,359.0,-553.0,63.0
-350.0,407.0,-445.0,-268.0,-527.0,230.0,-493.0,53.0,-299.0,46.0,-488.0,-115.0,-386.0,106.0,-485.0,381.0,-376.0,-455.0,-202.4117647,168.8382353,-234.97058819999998,28.27941176,-340.0,-189.0,-232.0,358.0,-550.0,59.0
-355.0,409.0,-447.0,-286.0,-527.0,224.0,-493.0,54.0,-301.0,50.0,-487.0,-118.0,-387.0,103.0,-482.0,378.0,-376.0,-459.0,-207.9705882,163.2794118,-237.3529412,22.72058824,-348.0,-187.0,-229.0,355.0,-548.0,58.0
-356.0,397.0,-446.0,-303.0,-524.0,218.0,-494.0,49.0,-301.0,42.0,-486.0,-125.0,-387.0,100.0,-484.0,370.0,-376.0,-459.0,-211.1470588,161.69117649999998,-241.3235294,24.30882353,-348.0,-187.0,-241.0,343.0,-550.0,52.0
-360.0,389.0,-446.0,-312.0,-528.0,214.0,-495.0,47.0,-300.0,40.0,-487.0,-131.0,-386.0,96.0,-490.0,363.0,-381.0,-452.0,-217.5,156.9264706,-245.2941176,19.54411765,-348.0,-189.0,-245.0,337.0,-550.0,43.0
-370.0,382.0,-445.0,-314.0,-534.0,206.0,-487.0,42.0,-305.0,40.0,-488.0,-137.0,-388.0,94.0,-498.0,353.0,-380.0,-449.0,-223.8529412,155.3382353,-249.2647059,19.54411765,-348.0,-189.0,-252.0,337.0,-554.0,37.0
-374.0,379.0,-445.0,-314.0,-536.0,200.0,-497.0,42.0,-307.0,44.0,-488.0,-138.0,-391.0,96.0,-504.0,350.0,-379.0,-444.0,-233.3823529,156.1323529,-257.2058824,21.92647059,-350.0,-181.0,-264.0,333.0,-555.0,39.0
-392.0,387.0,-445.0,-314.0,-542.0,202.0,-499.0,47.0,-314.0,51.0,-490.0,-140.0,-394.0,103.0,-513.0,354.0,-377.0,-431.0,-240.52941180000002,166.4558824,-261.97058819999995,29.86764706,-350.0,-171.0,-272.0,337.0,-561.0,45.0
-395.0,390.0,-445.0,-314.0,-546.0,218.0,-497.0,53.0,-316.0,60.0,-490.0,-140.0,-396.0,115.0,-525.0,355.0,-377.0,-412.0,-247.6764706,181.5441176,-265.94117650000004,38.60294118,-350.0,-164.0,-282.0,347.0,-562.0,46.0
-406.0,398.0,-445.0,-314.0,-554.0,219.0,-499.0,71.0,-316.0,73.0,-491.0,-135.0,-401.0,125.0,-534.0,363.0,-373.0,-391.0,-252.4411765,193.4558824,-271.5,59.25,-347.0,-150.0,-296.0,359.0,-561.0,57.0
-421.0,413.0,-445.0,-314.0,-558.0,227.0,-497.0,73.0,-319.0,88.0,-491.0,-131.0,-400.0,141.0,-534.0,368.0,-377.0,-361.0,-260.3823529,207.75,-279.44117650000004,73.54411765,-340.0,-129.0,-302.0,375.0,-562.0,64.0
-423.0,417.0,-445.0,-314.0,-564.0,234.0,-497.0,98.0,-318.0,101.0,-491.0,-126.0,-401.0,152.0,-543.0,378.0,-391.0,-331.0,-265.1470588,225.22058819999998,-279.44117650000004,84.66176471,-337.0,-120.0,-306.0,383.0,-567.0,71.0
-430.0,433.0,-445.0,-314.0,-566.0,242.0,-497.0,101.0,-321.0,118.0,-487.0,-121.0,-402.0,163.0,-546.0,385.0,-391.0,-297.0,-266.73529410000003,234.75,-280.23529410000003,98.95588235,-337.0,-113.0,-312.0,396.0,-565.0,77.0
-438.0,440.0,-445.0,-314.0,-566.0,244.0,-495.0,106.0,-321.0,122.0,-484.0,-115.0,-400.0,170.0,-546.0,389.0,-394.0,-271.0,-269.9117647,248.25,-281.02941180000005,110.0735294,-334.0,-95.0,-317.0,412.0,-565.0,88.0
-437.0,443.0,-443.0,-313.0,-570.0,247.0,-491.0,109.0,-319.0,127.0,-477.0,-111.0,-401.0,176.0,-552.0,397.0,-395.0,-257.0,-271.5,258.57352940000004,-281.02941180000005,119.6029412,-331.0,-85.0,-320.0,417.0,-562.0,87.0
-440.0,448.0,-439.0,-313.0,-567.0,252.0,-495.0,114.0,-317.0,132.0,-475.0,-103.0,-401.0,180.0,-554.0,394.0,-389.0,-273.0,-273.0882353,260.9558824,-281.8235294,123.5735294,-333.0,-85.0,-325.0,424.0,-558.0,92.0
-439.0,451.0,-439.0,-313.0,-568.0,248.0,-487.0,115.0,-319.0,134.0,-467.0,-103.0,-400.0,180.0,-553.0,401.0,-381.0,-289.0,-271.5,261.75,-280.23529410000003,125.95588240000001,-333.0,-85.0,-324.0,429.0,-561.0,90.0
-435.0,449.0,-439.0,-313.0,-564.0,253.0,-489.0,117.0,-319.0,133.0,-467.0,-103.0,-399.0,180.0,-552.0,394.0,-375.0,-317.0,-272.29411760000005,262.5441176,-277.05882349999996,127.54411759999999,-337.0,-90.0,-322.0,424.0,-557.0,90.0
-434.0,450.0,-439.0,-313.0,-559.0,252.0,-485.0,115.0,-313.0,134.0,-467.0,-99.0,-399.0,184.0,-546.0,404.0,-371.0,-330.0,-268.32352940000004,262.5441176,-274.6764706,127.54411759999999,-337.0,-90.0,-318.0,425.0,-552.0,93.0
-427.0,455.0,-439.0,-313.0,-555.0,251.0,-484.0,115.0,-308.0,138.0,-463.0,-99.0,-389.0,180.0,-544.0,407.0,-363.0,-341.0,-264.3529412,263.3382353,-275.47058819999995,123.5735294,-337.0,-96.0,-307.0,427.0,-551.0,95.0
-424.0,455.0,-439.0,-313.0,-553.0,257.0,-482.0,117.0,-310.0,132.0,-463.0,-99.0,-389.0,182.0,-535.0,405.0,-369.0,-343.0,-262.76470589999997,257.77941180000005,-273.88235289999994,121.19117649999998,-337.0,-96.0,-304.0,426.0,-546.0,99.0
