neck_x,neck_y,left_foot_x,left_foot_y,left_elbow_x,left_elbow_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,waist_x,waist_y,left_shoulder_x,left_shoulder_y,right_foot_x,right_foot_y,right_elbow_x,right_elbow_y,right_hand_x,right_hand_y,right_knee_x,right_knee_y,right_shoulder_x,right_shoulder_y,left_hand_x,left_hand_y
-478.7177598,286.73544580000004,-497.14285710000007,-1029.357798,-713.5887988,-37.2733972,-579.2398427,-317.37876800000004,-306.1016949,-297.61238030000004,-522.6212320000001,-683.9842725999999,-481.5475313,-140.560059,-679.6315402,184.8636699,-358.4272608,-794.3905636,-246.6764923,-13.22033898,-178.7619749,-274.97420780000004,-306.0550459,-525.4521625,-272.1444363,238.62932940000002,-699.439941,-286.293294
-458.9093589,295.2247605,-499.97378770000006,-1010.95675,-688.1208548,-28.78408254,-565.08519,-310.3014417,-303.2719234,-296.1974945,-519.7903014,-658.5058978,-461.73913039999996,-136.31540159999997,-656.9933677,190.523213,-354.180865,-797.2214941000001,-232.52763450000003,-20.29476787,-171.6875461,-282.04863670000003,-303.2241153,-526.8676278,-245.2616065,228.725129,-681.0464258999999,-262.2402358
-423.5372143999999,295.2247605,-508.46657930000003,-974.1546527,-656.9933677,-8.975681651,-553.7614679,-296.146789,-289.1230656,-282.04863670000003,-519.7903014,-644.3512451,-444.7605011,-124.99631540000001,-625.8658806,211.7464996,-357.0117955,-790.1441678,-215.54900519999995,-21.70965365,-161.7833456,-274.97420780000004,-301.8086501,-521.2057666999999,-221.2085483,231.5549005,-662.6529107999999,-243.8467207
-400.899042,309.37361830000003,-509.88204460000003,-928.8597641000001,-640.0147383999999,22.15180545,-542.4377457,-279.1612058,-276.3890936,-267.8997789,-522.6212320000001,-614.6264744,-416.4627856,-103.7730287,-603.2277082,232.96978629999998,-354.180865,-792.9750982999999,-190.0810612,-11.80545321,-150.4642594,-272.1444363,-298.9777195,-531.1140236,-207.05969050000002,235.79955780000003,-642.8445098999999,-218.3787767
-368.35666910000003,330.59690489999997,-502.8047182,-866.5792923,-625.8658806,41.96020634,-528.2830931,-257.9292267,-272.1444363,-255.1658069,-521.2057666999999,-570.7470511,-405.14369930000004,-83.96462786,-584.8341931,245.7037583,-354.180865,-792.9750982999999,-173.10243180000003,-4.731024318,-144.80471630000002,-257.9955785,-296.146789,-524.0366972,-190.0810612,238.62932940000002,-635.7700811000001,-201.4001474
-362.69712599999997,340.5011054,-494.3119266,-792.9750982999999,-615.9616802,58.93883567,-521.2057666999999,-239.52817819999996,-265.0700074,-233.9425203,-514.1284404,-533.9449541,-395.23949889999994,-75.47531319,-574.9299926,266.927045,-355.59633030000003,-790.1441678,-164.61311719999998,2.343404569,-140.560059,-241.0169492,-294.73132369999996,-528.2830931,-177.3470892,254.193073,-627.2807664,-168.8577745
-357.0375829,353.23507739999997,-485.81913499999996,-716.5399738,-600.3979366000001,81.57700811,-516.9593709,-222.542595,-266.48489309999997,-214.1341194,-507.051114,-490.06553080000003,-383.9204127,-58.49668386,-562.1960206,283.90567430000004,-359.84272610000005,-792.9750982999999,-158.9535741,19.3220339,-134.9005158,-218.3787767,-294.73132369999996,-521.2057666999999,-168.8577745,269.7568165,-620.2063375,-153.29403100000002
-348.5482682,375.8732498,-474.49541280000005,-644.3512451,-597.5681651000001,95.72586588,-512.7129751,-208.38794230000002,-266.48489309999997,-202.8150332,-494.3119266,-454.6788991,-383.9204127,-35.85851142,-555.1215917000001,300.8843036,-357.0117955,-797.2214941000001,-158.9535741,32.0560059,-141.97494469999998,-198.57037580000002,-293.3158585,-515.5439056,-164.61311719999998,293.8098747,-620.2063375,-127.82608700000002
-340.05895360000005,392.8518791,-463.17169069999994,-590.5635649000001,-586.2490789,111.2896094,-514.1284404,-189.98689380000002,-272.1444363,-188.6661754,-488.65006550000004,-423.53866320000003,-378.26086960000004,-23.12453943,-556.5364775,317.8629329,-358.4272608,-792.9750982999999,-158.9535741,43.37509211,-144.80471630000002,-184.4215181,-301.8086501,-507.051114,-164.61311719999998,296.6396463,-617.376566,-123.58142959999998
-345.71849669999995,385.7774503,-451.8479685,-569.3315857999999,-580.5895357,122.6086957,-511.2975098,-187.15596330000002,-272.1444363,-178.7619749,-477.3263433999999,-399.4757536,-375.431098,-10.39056743,-548.0471629,319.2778187,-366.9200524,-787.3132372,-153.29403100000002,37.71554901,-151.87914519999998,-167.4428887,-310.3014417,-501.38925290000003,-167.4428887,302.2991894,-618.7914517,-113.67722920000001
